scenario,bucketing,max_smd,cross_arm_edge_ratio,internal_density
低干扰-低异质性,structured_stratified,0.38272000551223756,0.5254054054054055,0.4689712248535777
低干扰-低异质性,semantic_stratified,0.36812885403633117,0.5227027027027027,0.4689712248535777
低干扰-低异质性,graph_cluster,0.8229196727275848,0.25531531531531537,0.4689712248535777
低干扰-高异质性,structured_stratified,0.38272000551223756,0.5254054054054055,0.4689712248535777
低干扰-高异质性,semantic_stratified,0.36812885403633117,0.5227027027027027,0.4689712248535777
低干扰-高异质性,graph_cluster,0.8229196727275848,0.25531531531531537,0.4689712248535777
高干扰-低异质性,structured_stratified,0.38272000551223756,0.5254054054054055,0.4689712248535777
高干扰-低异质性,semantic_stratified,0.36812885403633117,0.5227027027027027,0.4689712248535777
高干扰-低异质性,graph_cluster,0.8229196727275848,0.25531531531531537,0.4689712248535777
高干扰-高异质性,structured_stratified,0.38272000551223756,0.5254054054054055,0.4689712248535777
高干扰-高异质性,semantic_stratified,0.36812885403633117,0.5227027027027027,0.4689712248535777
高干扰-高异质性,graph_cluster,0.8229196727275848,0.25531531531531537,0.4689712248535777
