scenario,interference,heterogeneity,bucketing,estimator,bias,variance,rmse,coverage,power,true_effect
低干扰-低异质性,0.6,0.6,structured_stratified,diff_in_means,-1.7654545454545454,1.4047239669421487,2.1263945351247173,0.7,0.3,0.01818181818181818
低干扰-低异质性,0.6,0.6,structured_stratified,cuped,-1.7654545454545465,1.404723966942154,2.12639453512472,0.1,0.8,0.01818181818181818
低干扰-低异质性,0.6,0.6,structured_stratified,randomization_inference,-1.7654545454545454,1.4047239669421487,2.1263945351247173,1.0,0.1,0.01818181818181818
低干扰-低异质性,0.6,0.6,structured_stratified,exposure_mapping,-1.8235271788143692,1.4150610287698409,2.177225849709794,0.9,0.1,0.01818181818181818
低干扰-低异质性,0.6,0.6,semantic_stratified,diff_in_means,-2.1578093080461977,0.7064091351207481,2.315718062504924,0.3,0.7,0.01818181818181818
低干扰-低异质性,0.6,0.6,semantic_stratified,cuped,-2.1578093080461938,0.7064091351207453,2.31571806250492,0.0,1.0,0.01818181818181818
低干扰-低异质性,0.6,0.6,semantic_stratified,randomization_inference,-2.1578093080461977,0.7064091351207481,2.315718062504924,1.0,0.0,0.01818181818181818
低干扰-低异质性,0.6,0.6,semantic_stratified,exposure_mapping,-2.2126933813457343,0.646544470720652,2.3542634666858913,0.9,0.0,0.01818181818181818
低干扰-低异质性,0.6,0.6,graph_cluster,diff_in_means,-0.06727272727272748,0.2282347107438015,0.4824524127605875,1.0,0.0,0.01818181818181818
低干扰-低异质性,0.6,0.6,graph_cluster,cuped,-0.06727272727272862,0.2282347107438012,0.48245241276058726,0.8,0.2,0.01818181818181818
低干扰-低异质性,0.6,0.6,graph_cluster,randomization_inference,-0.06727272727272748,0.2282347107438015,0.4824524127605875,1.0,0.0,0.01818181818181818
低干扰-低异质性,0.6,0.6,graph_cluster,exposure_mapping,-0.12334216364673947,0.21168131639740442,0.47633455231639826,1.0,0.0,0.01818181818181818
低干扰-高异质性,0.6,1.8,structured_stratified,diff_in_means,-1.7909090909090908,1.1616528925619836,2.0902172768549234,0.5,0.5,0.08181818181818182
低干扰-高异质性,0.6,1.8,structured_stratified,cuped,-1.790909090909105,1.1616528925620055,2.0902172768549407,0.2,0.6,0.08181818181818182
低干扰-高异质性,0.6,1.8,structured_stratified,randomization_inference,-1.7909090909090908,1.1616528925619836,2.0902172768549234,1.0,0.1,0.08181818181818182
低干扰-高异质性,0.6,1.8,structured_stratified,exposure_mapping,-1.861577465240795,1.1958513910654816,2.1590095067316923,0.9,0.1,0.08181818181818182
低干扰-高异质性,0.6,1.8,semantic_stratified,diff_in_means,-2.0245224008184026,0.7245931258317403,2.1961976407525916,0.3,0.7,0.08181818181818182
低干扰-高异质性,0.6,1.8,semantic_stratified,cuped,-2.0245224008184124,0.7245931258317561,2.196197640752604,0.2,0.8,0.08181818181818182
低干扰-高异质性,0.6,1.8,semantic_stratified,randomization_inference,-2.0245224008184026,0.7245931258317403,2.1961976407525916,1.0,0.0,0.08181818181818182
低干扰-高异质性,0.6,1.8,semantic_stratified,exposure_mapping,-2.087609844965158,0.6098336108253042,2.228889516243628,1.0,0.0,0.08181818181818182
低干扰-高异质性,0.6,1.8,graph_cluster,diff_in_means,-0.13999999999999996,0.2062677685950412,0.4752554771857355,1.0,0.0,0.08181818181818182
低干扰-高异质性,0.6,1.8,graph_cluster,cuped,-0.13999999999999949,0.2062677685950415,0.4752554771857357,1.0,0.0,0.08181818181818182
低干扰-高异质性,0.6,1.8,graph_cluster,randomization_inference,-0.13999999999999996,0.2062677685950412,0.4752554771857355,1.0,0.0,0.08181818181818182
低干扰-高异质性,0.6,1.8,graph_cluster,exposure_mapping,-0.2121727848953478,0.23617538681906053,0.5302760389356735,1.0,0.0,0.08181818181818182
高干扰-低异质性,1.6,0.6,structured_stratified,diff_in_means,-2.3436363636363637,0.46692231404958695,2.44121971952716,0.1,0.9,0.08181818181818182
高干扰-低异质性,1.6,0.6,structured_stratified,cuped,-2.343636363636372,0.4669223140495881,2.4412197195271683,0.0,1.0,0.08181818181818182
高干扰-低异质性,1.6,0.6,structured_stratified,randomization_inference,-2.3436363636363637,0.46692231404958695,2.44121971952716,1.0,0.1,0.08181818181818182
高干扰-低异质性,1.6,0.6,structured_stratified,exposure_mapping,-2.39171712147677,0.47637433702662885,2.4893141879223992,0.5,0.4,0.08181818181818182
高干扰-低异质性,1.6,0.6,semantic_stratified,diff_in_means,-2.5186689491635232,0.5018079502612961,2.616390877858616,0.1,0.9,0.08181818181818182
高干扰-低异质性,1.6,0.6,semantic_stratified,cuped,-2.5186689491635295,0.5018079502612957,2.6163908778586227,0.0,1.0,0.08181818181818182
高干扰-低异质性,1.6,0.6,semantic_stratified,randomization_inference,-2.5186689491635232,0.5018079502612961,2.616390877858616,1.0,0.2,0.08181818181818182
高干扰-低异质性,1.6,0.6,semantic_stratified,exposure_mapping,-2.5438944921607676,0.5020747850523994,2.6407336049473615,0.4,0.6,0.08181818181818182
高干扰-低异质性,1.6,0.6,graph_cluster,diff_in_means,-0.9399999999999998,0.26471404958677686,1.0715941627252255,0.7,0.3,0.08181818181818182
高干扰-低异质性,1.6,0.6,graph_cluster,cuped,-0.9400000000000016,0.26471404958677824,1.0715941627252275,0.2,0.8,0.08181818181818182
高干扰-低异质性,1.6,0.6,graph_cluster,randomization_inference,-0.9399999999999998,0.26471404958677686,1.0715941627252255,1.0,0.0,0.08181818181818182
高干扰-低异质性,1.6,0.6,graph_cluster,exposure_mapping,-1.0244309624049222,0.311115993442565,1.166436792190833,1.0,0.0,0.08181818181818182
高干扰-高异质性,1.6,1.8,structured_stratified,diff_in_means,-2.023636363636364,0.3057223140495867,2.097814683493514,0.1,1.0,-0.16363636363636364
高干扰-高异质性,1.6,1.8,structured_stratified,cuped,-2.0236363636363737,0.30572231404959105,2.0978146834935245,0.0,1.0,-0.16363636363636364
高干扰-高异质性,1.6,1.8,structured_stratified,randomization_inference,-2.023636363636364,0.3057223140495867,2.097814683493514,1.0,0.2,-0.16363636363636364
高干扰-高异质性,1.6,1.8,structured_stratified,exposure_mapping,-2.086037483098584,0.3082407525743179,2.158655399424974,0.8,0.2,-0.16363636363636364
